case_id,lang_pair,source,target,expected_checks,notes
1,EN->PT,"Payment is due by 03/04/2026.","O pagamento vence a 03/04/2026.","Dates","Data ambígua (Default deve avisar; Client Demo pode não ter Dates)"
2,EN->PT,"Payment is due by 03/04/2026.","O pagamento vence a 04/03/2026.","Dates","Alteração de data (deve dar Critical Dates)"
3,EN->PT,"Please pay € 2,500.","Por favor pague € 2.500.","","Caso de controlo: moeda preservada (não deve alertar)"
4,EN->PT,"Please pay € 2,500.","Por favor pague $ 2.500.","Currencies","Símbolo diferente (deve alertar Currencies no Default)"
5,EN->PT,"A penalty of 10% applies.","Aplica-se uma penalização de 10.","Percentages","Perdeu o símbolo %"
6,EN->PT,"Contact support@example.com for help.","Contacte-nos.","Non-translate (Emails)","Email desapareceu"
7,EN->PT,"Read https://example.com/manual.pdf.","Consulte o manual em https://example.com/manual.pdf.","","URL preservada (não deve alertar)"
8,EN->PT,"Ref: ABC-1234 must be included.","Referência: ABC-1234 deve ser incluída.","","ID preservado (não deve alertar)"
9,EN->PT,"Dose: 5 mg.","Dose: 5.","Units","Falta unidade"
10,EN->PT,"Operating range: 10–15 °C.","Intervalo: 10 °C.","Ranges|Units","Perdeu intervalo e parte do valor com unidade"
11,EN->PT,"The value is 1200.","O valor é 1.200.","","Equivalência de formato (controlo: não deve alertar)"
12,EN->PT,"The value is 1200.","O valor é 120.","Numbers","Número alterado (deve alertar Numbers)"
13,ES->PT,"La entrega es el 03/04/2026.","A entrega é a 03/04/2026.","Dates","Data ambígua em ES (Default deve avisar)"
14,ES->PT,"Se aplicará un recargo del 12,5%.","Aplicar-se-á um acréscimo de 12,5.","Percentages","Perdeu % (vírgula decimal)"
15,ES->PT,"Dosis: 2 mg. Rango: 10-15 °C.","Dose: 2. Intervalo: 10 °C.","Units|Ranges","Unidade e intervalo em ES"
16,EN->PT,"Read https://example.com/manual.pdf.","Consulte o manual.","Non-translate (URLs)","URL desapareceu (deve alertar)"
17,EN->PT,"Ref: ABC-1234 must be included.","A referência deve ser incluída.","Non-translate (IDs)","ID desapareceu (deve alertar)"
18,EN->PT,"Total cost: € 2500.","Custo total: 2500.","Currencies","Moeda desapareceu (símbolo não preservado)"
